1	30
2	70	30
3	100	100
4	120	200
5	140	320
6	160	460
7	180	620
8	200	800
9	220	1000
10	240	1220
11	260	1460
12	280	1720
13	300	2000
14	350	2300
15	400	2650
16	450	3050
17	500	3500
18	550	4000
19	600	4550
20	650	5150
21	700	5800
22	800	6500
23	900	7300
24	1000	8200
25	1100	9200
26	1200	10300
27	1300	11500
28	1400	12800
29	1500	14200
30	1600	15700
31	1700	17300
32	1800	19000
33	1900	20800
34	2000	22700
35	2100	24700
36	2200	26800
37	2400	29000
38	2600	31400
39	2800	34000
40	3000	36800
41	3200	39800
42	3400	43000
43	3600	46400
44	3800	50000
45	4000	53800
46	4200	57800
47	4400	62000
48	4600	66400
49	4800	71000
50	5000	75800
51	5250	80800
52	5500	86050
53	5750	91550
54	6000	97300
55	6250	103300
56	6500	109550
57	6750	116050
58	7000	122800
59	7250	129800
60	7500	137050
61	7800	144550
62	8100	152350
63	8400	160450
64	8700	168850
65	9000	177550
66	9500	186550
67	10000	196050
68	10500	206050
69	11000	216550
70	11500	227550
71	12000	239050
72	12500	251050
73	13000	263550
74	13500	276550
75	14000	290050
76	14500	304050
77	15000	318550
78	15500	333550
79	16000	349050
80	50000	365050
81	20000	415050
82	21000	435050
83	22000	456050
84	23000	478050
85	24000	501050
86	25000	525050
87	26000	550050
88	27000	576050
89	100000	603050
90	150000	703050
91	200000	853050
92	250000	1053050
93	300000	1303050
94	350000	1603050
95	400000	1953050
96	450000	2353050
97	500000	2803050
98	500000	3303050
99	1000000	3803050
100	0	4803050
